path,msg_id,msg,alerts,chosen,In which repository the modification was done?,In which pull request the modification was done?,Do you consider the removed alert harmful?,Why do you consider it harmful (or harmless)?,Co-pilot,"What is the code quality (1 lowest, 10 best)? Code quality refers to the code prior to the pull request.",Why do you consider the code quality as such?,"What is the expected benefit(1 – negative, 5 – neutral, 10 – great)?",Why do you consider the pull request to improve the code (or not improve it)?
jarviscli\plugins\battery.py,C0301, line-too-long,1,1,sukeesh/Jarvis,https://github.com/sukeesh/Jarvis/pull/1231,Yes, made a long line more readable,GPT 4o. .Worked well.,7,regular,6, made a long line more readable
jarviscli\plugins\distance.py,C0301, line-too-long,1,1,sukeesh/Jarvis,https://github.com/sukeesh/Jarvis/pull/1231,Yes,made long line shorter,GPT 4o. .Worked well.,7,regular,5,made long lines shorter
jarviscli\packages\timeIn.py,C0301, line-too-long,2,1,sukeesh/Jarvis,https://github.com/sukeesh/Jarvis/pull/1231,Yes,made long lines shorter,GPT 4o. Added new line by message structure.,7,regular,5,made long line more readable  
jarviscli\plugins\quote.py,C0301, line-too-long,2,1,sukeesh/Jarvis,https://github.com/sukeesh/Jarvis/pull/1231,Yes,made long lines shorter,GPT 4o. Added new line by message structure.,7,regular,5,made long lines shorter
jarviscli\plugins\curl.py,C0301, line-too-long,1,1,sukeesh/Jarvis,https://github.com/sukeesh/Jarvis/pull/1231,Yes,made long line more readable  ,GPT 4o. Added new line by parameters structure.,6,magic numbers,5,made long line more readable  
jarviscli\plugins\goodreads.py,C0301, line-too-long,1,1,sukeesh/Jarvis,https://github.com/sukeesh/Jarvis/pull/1231,Yes,made long lines shorter,GPT 4o. Added new line by parameters structure.,7,regular,5,made long lines shorter
jarviscli\plugins\connect_four.py,C0301, line-too-long,2,1,sukeesh/Jarvis,https://github.com/sukeesh/Jarvis/pull/1231,Yes,made long lines shorter,GPT 4o. Added plenty unrelated code. Left the comment line long.,6,bad names,5,made long lines shorter
jarviscli\plugins\hangman.py,R0915, too-many-statements,1,1,sukeesh/Jarvis,https://github.com/sukeesh/Jarvis/pull/1231,Yes,extracted method but the messy part is just extracted into one of them,"GPT 4o. Extracted a method raleted to oone method. I gave up and did it manually.ther parts, had to add ifs based on the return values. Made unrelated changes even I asked to extract ",5,Spaghetti code ,7,extracted method but the messy part is just extracted into one of them
jarviscli\plugins\file_organise.py,R1702, too-many-nested-blocks,1,1,sukeesh/Jarvis,https://github.com/sukeesh/Jarvis/pull/1231,Yes, Method organise of class File_Organise had 6 nested-blocks while Pylint recommends having at most 5. I extracted orgnise_directory to make the code more structured and solve that. ,GPT 4o. Failed to reduce nesting (should have extracted the inner part into a function),5,many return points. Magic numbers,9,signature a bit long
jarviscli\plugins\dns_lookup.py,W0718, broad-exception-caught,1,1,sukeesh/Jarvis,,Discuss,Co-pilot suggested replacing Exception in line 28 in socket.gaierror. I could not find direct/indirect call of socket (which is reasonable in dns_lookup). Could not find expected exceptions.,"GPT 4o. In feedback gave string construction good feedback. When asked to give specific exception gave a suggestion but messed the indentation. After asked to fixed that, doubled the except section. There is no direct use of socket here and I could not found inderect one. Asked to explain, co-piolt claim it is reasonable to call socket in dns lookup",7,regular, , 
jarviscli\plugins\write_agenda.py,R0915, too-many-statements,1,1,sukeesh/Jarvis,https://github.com/sukeesh/Jarvis/pull/1231,Yes," Function write_agenda had 56 statements while Pylint recommends having at most 50. I extracted the methods check_agenda_file, get_valid_date, and get_valid_time to make the code more structured and solve that. ","GPT 4o. In one of the attempts it recognized a reuse opportunity, extracted a method and used in in two places. However, it did many other changes. I triedto get it to do just the extraction, it drifted away, I gave up and did it myself.",5,Spaghetti code ,7,less variables going over all the function
jarviscli\plugins\akinator.py,C0301, line-too-long,1,1,sukeesh/Jarvis,https://github.com/sukeesh/Jarvis/pull/1231,Yes,made long line shorter,"GPT 4o. In the first alert made two calls to jravis.say (like print), which is probably OK yet it could not be sure of that. Did not fixed when requested.",5,"bad names, magic strings",5,made long line shorter
jarviscli\plugins\agify.py,C0325, superfluous-parens,1,1,sukeesh/Jarvis,https://github.com/sukeesh/Jarvis/pull/1231,Yes,Removed unneeded parentheses,GPT 4o. Using co-pilot ,7,regular,5,Removed unneeded parentheses 
installer\unix_windows.py,R1703, simplifiable-if-statement,1,1,sukeesh/Jarvis,https://github.com/sukeesh/Jarvis/pull/1231,Yes,Replace if with direct assignment of the condition into the output variable.,GPT 4o. Using direct request from co-pilot. Request for feedback was not useful,7,regular,6,"Replace if with direct assignment of the condition into the output variable, simplifying the code"
jarviscli\plugins\name_day.py,C0301, line-too-long,1,1,sukeesh/Jarvis,,No,A url,, , , , 
jarviscli\plugins\asteroids_neows.py,C0301, line-too-long,1,1,sukeesh/Jarvis,,No,A url,, , , , 
jarviscli\packages\mapps.py,C0301, line-too-long,1,1,sukeesh/Jarvis,,No,url,, , , , 
jarviscli\plugins\check_if_game_runs_on_linux.py,C0325, superfluous-parens,4,0, ,, , ,, , , , 
jarviscli\plugins\check_if_game_runs_on_linux.py,W0301, unnecessary-semicolon,4,0, ,, , ,, , , , 
jarviscli\plugins\hangman.py,R0912, too-many-branches,1,0, ,, , ,, , , , 
jarviscli\plugins\hangman.py,W0718, broad-exception-caught,1,0, ,, , ,, , , , 
jarviscli\plugins\write_agenda.py,R0912, too-many-branches,1,0, , , , ,, , , , 
jarviscli\plugins\write_agenda.py,W0718, broad-exception-caught,1,0, , , , ,, , , , 
jarviscli\plugins\tic_tac_toe.py,C0301, line-too-long,2,0, , , , ,, , , , 
jarviscli\plugins\tic_tac_toe.py,C0325, superfluous-parens,18,0, , , , ,, , , , 
jarviscli\plugins\tic_tac_toe.py,R0912, too-many-branches,1,0, , , , ,, , , , 
jarviscli\plugins\cricket.py,C0325, superfluous-parens,1,0, , , , ,, , , , 
jarviscli\plugins\cricket.py,R0912, too-many-branches,1,0, , , , ,, , , , 
jarviscli\plugins\trivia.py,C0325, superfluous-parens,5,0, , , , ,, , , , 
jarviscli\utilities\voice.py,C0301, line-too-long,3,0, , , , ,, , , , 
jarviscli\plugins\voter_info.py,C0301, line-too-long,3,0, , , , ,, , , , 
jarviscli\plugins\blackjack.py,C0301, line-too-long,16,0, , , , ,, , , , 
jarviscli\plugins\blackjack.py,R0911, too-many-return-statements,1,0, , , , ,, , , , 
jarviscli\plugins\blackjack.py,R0915, too-many-statements,2,0, , , , ,, , , , 
jarviscli\plugins\fruit_nutrition.py,C0301, line-too-long,3,0, , , , ,, , , , 
jarviscli\plugins\rockpaperscissors.py,C0301, line-too-long,2,0, , , , ,, , , , 
jarviscli\plugins\rockpaperscissors.py,C0325, superfluous-parens,19,0, , , , ,, , , , 
jarviscli\plugins\rockpaperscissors.py,R0912, too-many-branches,1,0, , , , ,, , , , 
jarviscli\plugins\rockpaperscissors.py,R0915, too-many-statements,1,0, , , , ,, , , , 
installer\steps\a_setup_virtualenv.py,C0301, line-too-long,1,0, , , , ,, , , , 
jarviscli\plugins\calories_macros.py,C0325, superfluous-parens,3,0, , , , ,, , , , 
jarviscli\plugins\element.py,C0301, line-too-long,1,0, , , , ,, , , , 
jarviscli\plugins\imgtopdf.py,C0301, line-too-long,3,0, , , , ,, , , , 
jarviscli\plugins\random_repo.py,C0325, superfluous-parens,4,0, , , , ,, , , , 
jarviscli\plugins\random_repo.py,W0301, unnecessary-semicolon,3,0, , , , ,, , , , 
jarviscli\plugins\taste_dive.py,C0301, line-too-long,10,0, , , , ,, , , , 
jarviscli\plugins\bulkresize.py,R1703, simplifiable-if-statement,1,0, , , , ,, , , , 
jarviscli\plugins\guess_number_game.py,C0301, line-too-long,2,0, , , , ,, , , , 
jarviscli\plugins\guess_number_game.py,R0915, too-many-statements,1,0, , , , ,, , , , 
jarviscli\plugins\spinthewheel.py,C0301, line-too-long,3,0, , , , ,, , , , 
jarviscli\packages\weather_pinpoint.py,R0915, too-many-statements,1,0, , , , ,, , , , 
jarviscli\packages\weather_pinpoint.py,W0718, broad-exception-caught,3,0, , , , ,, , , , 
jarviscli\utilities\__init__.py,R0801, duplicate-code,38,0, , , , ,, , , , 
jarviscli\plugins\flightradar.py,C0301, line-too-long,15,0, , , , ,, , , , 
jarviscli\plugins\flightradar.py,R0912, too-many-branches,1,0, , , , ,, , , , 
jarviscli\plugins\flightradar.py,R0915, too-many-statements,1,0, , , , ,, , , , 
jarviscli\plugins\roulette.py,C0301, line-too-long,4,0, , , , ,, , , , 
jarviscli\plugins\roulette.py,R0916, too-many-boolean-expressions,3,0, , , , ,, , , , 
jarviscli\plugins\quote.py,C0325, superfluous-parens,1,0, , , , ,, , , , 
jarviscli\plugins\connect_four.py,R0912, too-many-branches,1,0, , , , ,, , , , 
jarviscli\plugins\connect_four.py,R1703, simplifiable-if-statement,1,0, , , , ,, , , , 
jarviscli\plugins\yeelight.py,C0301, line-too-long,3,0, , , , ,, , , , 
jarviscli\plugins\yeelight.py,R1719, simplifiable-if-expression,1,0, , , , ,, , , , 
installer\steps\d_optional.py,C0301, line-too-long,1,0, , , , ,, , , , 
installer\steps\d_optional.py,W0401, wildcard-import,1,0, , , , ,, , , , 
jarviscli\plugins\history.py,C0301, line-too-long,10,0, , , , ,, , , , 
jarviscli\plugins\goodreads.py,R0911, too-many-return-statements,1,0, , , , ,, , , , 
jarviscli\plugins\akinator.py,R0912, too-many-branches,1,0, , , , ,, , , , 
jarviscli\plugins\akinator.py,W0718, broad-exception-caught,1,0, , , , ,, , , , 
jarviscli\plugins\food_recipe.py,C0301, line-too-long,4,0, , , , ,, , , , 
jarviscli\plugins\file_manager.py,C0301, line-too-long,1,0, , , , ,, , , , 
jarviscli\plugins\fruit_nutriton.py,C0301, line-too-long,3,0, , , , ,, , , , 
jarviscli\plugins\tasks.py,C0301, line-too-long,5,0, , , , ,, , , , 
jarviscli\plugins\tasks.py,W0718, broad-exception-caught,3,0, , , , ,, , , , 
jarviscli\plugins\top_media.py,C0301, line-too-long,3,0, , , , ,, , , , 
jarviscli\plugins\top_media.py,R0912, too-many-branches,1,0, , , , ,, , , , 
jarviscli\plugins\mass_conv.py,C0325, superfluous-parens,8,0, , , , ,, , , , 
installer\optional.py,C0301, line-too-long,4,0, , , , ,, , , , 
jarviscli\plugins\htmltopdf.py,C0301, line-too-long,4,0, , , , ,, , , , 
jarviscli\plugins\cocktail.py,R1719, simplifiable-if-expression,1,0, , , , ,, , , , 
jarviscli\plugins\cocktail.py,W0718, broad-exception-caught,1,0, , , , ,, , , , 
jarviscli\plugins\website_status.py,C0325, superfluous-parens,1,0, , , , ,, , , , 
jarviscli\plugins\gmail.py,C0301, line-too-long,5,0, , , , ,, , , , 
jarviscli\plugins\twitter_trends.py,R1719, simplifiable-if-expression,1,0, , , , ,, , , , 
jarviscli\plugins\balut.py,C0325, superfluous-parens,2,0, , , , ,, , , , 
jarviscli\plugins\voice_control.py,C0325, superfluous-parens,2,0, , , , ,, , , , 
jarviscli\plugins\workout.py,C0301, line-too-long,3,0, , , , ,, , , , 
jarviscli\plugins\workout.py,C0325, superfluous-parens,11,0, , , , ,, , , , 
jarviscli\plugins\workout.py,W0718, broad-exception-caught,2,0, , , , ,, , , , 
jarviscli\plugins\basketball.py,C0301, line-too-long,5,0, , , , ,, , , , 
jarviscli\plugins\stock.py,C0301, line-too-long,5,0, , , , ,, , , , 
jarviscli\plugins\stock.py,C0325, superfluous-parens,15,0, , , , ,, , , , 
jarviscli\CmdInterpreter.py,C0301, line-too-long,1,0, , , , ,, , , , 
jarviscli\CmdInterpreter.py,C0325, superfluous-parens,5,0, , , , ,, , , , 
jarviscli\plugins\project_euler.py,C0301, line-too-long,5,0, , , , ,, , , , 
jarviscli\plugins\bmr.py,R0915, too-many-statements,1,0, , , , ,, , , , 
jarviscli\plugins\mips_conv.py,C0301, line-too-long,6,0, , , , ,, , , , 
jarviscli\plugins\mips_conv.py,C0325, superfluous-parens,76,0, , , , ,, , , , 
jarviscli\plugins\mips_conv.py,R0912, too-many-branches,4,0, , , , ,, , , , 
jarviscli\plugins\morse_code.py,C0325, superfluous-parens,4,0, , , , ,, , , , 
jarviscli\plugins\qr_generator.py,C0301, line-too-long,5,0, , , , ,, , , , 
jarviscli\plugins\qr_generator.py,C0325, superfluous-parens,1,0, , , , ,, , , , 
jarviscli\plugins\qr_generator.py,W0104, pointless-statement,1,0, , , , ,, , , , 
jarviscli\plugins\news.py,C0301, line-too-long,4,0, , , , ,, , , , 
jarviscli\plugins\news.py,R0911, too-many-return-statements,1,0, , , , ,, , , , 
jarviscli\plugins\news.py,R0912, too-many-branches,1,0, , , , ,, , , , 
installer\steps\e_launcher.py,C0301, line-too-long,2,0, , , , ,, , , , 
installer\steps\e_launcher.py,W0301, unnecessary-semicolon,2,0, , , , ,, , , , 
installer\steps\e_launcher.py,W0401, wildcard-import,1,0, , , , ,, , , , 
jarviscli\plugins\bmi.py,R0912, too-many-branches,1,0, , , , ,, , , , 
jarviscli\plugins\bmi.py,R0915, too-many-statements,1,0, , , , ,, , , , 
jarviscli\plugins\magic_8_ball.py,C0301, line-too-long,10,0, , , , ,, , , , 
jarviscli\plugins\weekday.py,C0301, line-too-long,2,0, , , , ,, , , , 
jarviscli\plugins\weekday.py,C0325, superfluous-parens,1,0, , , , ,, , , , 
jarviscli\plugins\weekday.py,R0911, too-many-return-statements,1,0, , , , ,, , , , 
installer\helper.py,C0301, line-too-long,2,0, , , , ,, , , , 
installer\helper.py,R1719, simplifiable-if-expression,1,0, , , , ,, , , , 
installer\helper.py,W0718, broad-exception-caught,2,0, , , , ,, , , , 
jarviscli\utilities\textParser.py,R0915, too-many-statements,1,0, , , , ,, , , , 
jarviscli\plugins\dial_code.py,C0325, superfluous-parens,4,0, , , , ,, , , , 
jarviscli\plugins\wordgame.py,C0301, line-too-long,6,0, , , , ,, , , , 
jarviscli\plugins\expression_checker.py,R0915, too-many-statements,1,0, , , , ,, , , , 
jarviscli\plugins\length_conv.py,C0325, superfluous-parens,12,0, , , , ,, , , , 
jarviscli\plugins\translate.py,C0301, line-too-long,9,0, , , , ,, , , , 
jarviscli\plugins\translate.py,C0325, superfluous-parens,3,0, , , , ,, , , , 
jarviscli\plugins\timeconv.py,C0325, superfluous-parens,8,0, , , , ,, , , , 
jarviscli\plugins\evaluator.py,R0912, too-many-branches,1,0, , , , ,, , , , 
jarviscli\plugins\evaluator.py,R0915, too-many-statements,1,0, , , , ,, , , , 
jarviscli\plugins\motivate.py,C0301, line-too-long,3,0, , , , ,, , , , 
